Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/make_request_httpx_sync,7109,7109,2600.0,2740.1220726503,57.787591999840515,51053.05130600027,136.0,60.20355970489992,60.20355970489992,2600,3100,3200,3200,3300,3400,3500,17000,47000,51000,51000
,Aggregated,7109,7109,2600.0,2740.1220726503,57.787591999840515,51053.05130600027,136.0,60.20355970489992,60.20355970489992,2600,3100,3200,3200,3300,3400,3500,17000,47000,51000,51000
