Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/make_request_httpx_async,39803,0,300.0,453.3103594054733,6.069479999951,6451.974678999704,15.0,397.1746034018602,0.0,300,480,610,720,1000,1400,1800,2200,3500,5200,6500
,Aggregated,39803,0,300.0,453.3103594054733,6.069479999951,6451.974678999704,15.0,397.1746034018602,0.0,300,480,610,720,1000,1400,1800,2200,3500,5200,6500
