Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/make_request_httpx_async,124473,124473,150.0,150.90216381139393,3.635478999967745,614.4633370004158,136.0,1038.417459066452,1038.417459066452,150,170,180,180,210,250,320,370,520,600,610
,Aggregated,124473,124473,150.0,150.90216381139393,3.635478999967745,614.4633370004158,136.0,1038.417459066452,1038.417459066452,150,170,180,180,210,250,320,370,520,600,610
